代码,汉字,div,division,newcode,yuhao,region
2E7C3,𮟃,罒一{水右}辶,罒一丩辶,MwFiSiPd,MwFiXgPd,CJK-F
2E81A,𮠚,𠂉卄冂三,𠂉龷冂二,QkSjKfFa,QkSjKfSi,CJK-F
2E979,𮥹,亠⺀隹,亠丷隹,ObSiWi,ObUeWi,CJK-F
2EAD6,𮫖,又凵𠄟㇄,凵又乚二,BuXgSiXi,XgBuXiSi,CJK-F
2EAE3,𮫣,鬼火火,鬼厶火火,WuUoUo,WuVvUoUo,CJK-F
2EAE6,𮫦,鬼覀木,鬼厶西木,WuDxFv,WuVvDxFv,CJK-F
2EAE7,𮫧,文凵冂厶,文凵冂鬼,PwXgKfVv,PwXgKfWu,CJK-F
2EAE8,𮫨,鬼𠆢一日,鬼厶人日,WuTeFiJr,WuVvTeJr,CJK-F
2EAE9,𮫩,麻鬼未,麻鬼厶未,PaWuHe,PaWuVvHe,CJK-F
2EAEA,𮫪,鬼广亻心,鬼厶广心,WuUuEeYi,WuVvUuYi,CJK-F
2EAEB,𮫫,鬼尸氺虫,鬼厶尸虫,WuBhKvKc,WuVvBhKc,CJK-F
2EB50,𮭐,{京頭}𠃌𰀪鳥,习习鳥,OlViToRo,OlXiXiRo,CJK-F
2EBA9,𮮩,氺凵壴又,凵水壴又,KvXgDdBu,XgKvDdBu,CJK-F
2EBBA,𮮺,亠亻尸一,亠尸亻一,ObEeBhFi,ObBhEeFi,CJK-F
2EBBB,𮮻,亠弓刀二,亠刀弓二,ObVgBdSi,ObBdVgSi,CJK-F
2EBBC,𮮼,亠丷丨日,亠尸丷日,ObUeNsJr,ObBhUeJr,CJK-F
2EBC6,𮯆,齒⺕亅八,齒彐亅人,McXlViTi,McXlViTe,CJK-F
30398,𰎘,山冂尢丶,山口儿丶,JsKfDoOd,JsLvQrOd,CJK-G
30D04,𰴄,衤𦍌水,衤䒑土水,PyUgKv,PyUeHtKv,CJK-G
31365,𱍥,卝二口匕,卝一口一,SjSiLvRi,SjFiLvFi,CJK-H
3197D,𱥽,{𠁅头}水,一厂二水,MuKv,FiShSiKv,CJK-H
319FD,𱧽,氵业巾{介下},水业巾八,IsKgMvTi,KvKgMvTi,CJK-H
31A23,𱨣,氵彐匕儿,氵彐厶儿,IsXlRiQr,IsXlVvQr,CJK-H
31ABA,𱪺,{灬丶}⺀人⺀,⺍⺀⺀人,IsSiTeSi,IsSiSiTe,CJK-H
31B31,𱬱,丷豕𠂤火,戶コ丷火,UeDsYdUo,IeBuUeUo,CJK-H
31B46,𱭆,丅八尸寸,一小尸寸,AkTiBhAc,FiMaBhAc,CJK-H
31C1C,𱰜,月亅,二亅,WyVi,WySiVi,CJK-H
31C30,𱰰,日𰀁人人,日一人十,JrAoTeTe,JrFiTeDi,CJK-H
31CA9,𱲩,目𭕄乀,目⺀乚,MfIsOd,MfSiXi,CJK-H
31D6E,𱵮,⺌一目小,丄丷目辶,MaFiMfMa,KsUeMfPd,CJK-H
31F54,𱽔,艹冂尢,艹口儿,SjKfDo,SjLvQr,CJK-H
32256,𲉖,尸コ𠃊來,乚丨コ來,BhBuXiDl,XiNsBuDl,CJK-H
32259,𲉙,𠂤𠃊日巾,乚𠂤甲冂,YdXiJrMv,XiYdKjKf,CJK-H
