char,division,code,division_tw,code_tw,region
𧧗,言乂凵儿,BSWW,,,CJK-B
𧧘,言⺈巴,BXOb,言刀巴,BMOb,CJK-B
𧧙,月言又,WBBo,,,CJK-B
𧧚,言冊丨,BCUs,,,CJK-B
𧧛,言冂二二,BCII,,,CJK-B
𧧜,言冂乂乂,BCSS,,,CJK-B
𧧝,言厂牙,BVHy,,,CJK-B
𧧞,爪言又,UBBo,,,CJK-B
𧧟,言十戈,BGKg,,,CJK-B
𧧠,言彐彐,BBBj,,,CJK-B
𧧡,言八八厶,BKKN,,,CJK-B
𧧢,言亡,BTWr,,,CJK-B
𧧣,言文凵,BTWk,,,CJK-B
𧧤,言䒑大,BQOd,,,CJK-B
𧧥,言冂龷,BCSn,,,CJK-B
𧧦,言向,BDxⓨ,,,CJK-B
𧧧,冂乂乂言,CSSB,,,CJK-B
𧧨,言几木,BEAm,,,CJK-B
𧧩,言亦,BTyⓨ,,,CJK-B
𧧪,言彐,BBAk,,,CJK-B
𧧫,言尸工,BBPg,,,CJK-B
𧧬,十戈言,GKBy,,,CJK-B
𧧭,言夊ヰ,BTAk,,,CJK-B
𧧮,言亡川,BTLc,,,CJK-B
𧧯,言小兀,BILw,,,CJK-B
𧧰,言臣,BHeⓨ,,,CJK-B
𧧱,言彐山,BBUs,,,CJK-B
𧧲,言壬儿,BMWr,,,CJK-B
𧧳,言大ヰ,BOAk,,,CJK-B
𧧴,言人乚心,BRER,,,CJK-B
𧧵,言大入入,BOKK,,,CJK-B
𧧶,言人一木,BRFA,,,CJK-B
𧧷,言一水丶,BFNK,,,CJK-B
𧧸,言口力刂,BLSM,言口勹刂,BLWM,CJK-B
𧧹,亻口八言,ELKB,,,CJK-B
𧧺,言匕匕土,BNNH,,,CJK-B
𧧻,言亻𠂉,BEGU,,,CJK-B
𧧼,言宀夕一,BIXF,,,CJK-B
𧧽,言夊丰,BTDf,,,CJK-B
𧧾,言貝,BJbⓨ,,,CJK-B
𧧿,乂乂子言,SSKB,,,CJK-B
𧨀,言人人土,BRRH,,,CJK-B
𧨁,羊言,QByⓨ,羊丿言,QGBⓨ,CJK-B
𧨂,言亻丁口,BEJL,,,CJK-B
𧨃,言土八,BHKK,,,CJK-B
𧨄,言艹一丂,BSFH,言艹二㇉,BSIE,CJK-B
𧨅,艹土言,SHBy,,,CJK-B
𧨆,言亠厶,BANW,,,CJK-B
𧨇,言尸木,BBAm,,,CJK-B
𧨈,工人人言,PRRB,,,CJK-B
𧨉,言亡壬,BTMr,,,CJK-B
𧨊,言厂𠂉,BVGU,,,CJK-B
𧨋,言冂一止,BCFP,,,CJK-B
𧨌,言大大一,BOOF,,,CJK-B
𧨍,亻口八言,ELKB,,,CJK-B
𧨎,言宀一兀,BIFL,,,CJK-B
𧨏,言冖且,BXJq,,,CJK-B
𧨐,言文女,BTCn,,,CJK-B
𧨑,言了,BAKe,,,CJK-B
𧨒,言一日乂,BFJS,,,CJK-B
𧨓,言日廴,BJGy,,,CJK-B
𧨔,言艹亡,BSTw,,,CJK-B
𧨕,言⺈口儿,BXLW,,,CJK-B
𧨖,言⺈用,BXSy,言⺈土,BXWH,CJK-B
𧨗,言干火,BNIh,,,CJK-B
𧨘,言一卄彡,BFSC,,,CJK-B
𧨙,言土乚土,BHEH,,,CJK-B
𧨚,言日土,BJHt,,,CJK-B
𧨛,言目匕,BJNb,,,CJK-B
𧨜,言口月,BLWy,言厶月,BNWy,CJK-B
𧨝,言冂八口,BCKL,言冂儿口,BCWL,CJK-B
𧨞,言爪大,BUOd,,,CJK-B
𧨟,言言,BByⓨ,,,CJK-B
𧨠,言穴又,BIBo,,,CJK-B
𧨡,言彐丿口,BBGL,,,CJK-B
𧨢,言卝干,BSNg,,,CJK-B
𧨣,冂人口言,CRLB,冂入口言,CKLB,CJK-B
𧨤,言日工,BJPg,,,CJK-B
𧨥,言{齊右}日,BKJr,,,CJK-B
𧨦,言八一皿,BKFU,,,CJK-B
𧨧,阝工言,PEPB,,,CJK-B
𧨨,言心丿山,BRGU,,,CJK-B
𧨩,言一大丶,BFOK,,,CJK-B
𧨪,言卜又月,BUBW,,,CJK-B
𧨫,言大䒑十,BOQG,,,CJK-B
𧨬,言田丌,BVLj,,,CJK-B
𧨭,臣人言,HRBy,,,CJK-B
𧨮,言𠂤十,BDGi,,,CJK-B
𧨯,言一厶木,BFNA,,,CJK-B
𧨰,言牛冂刂,BPCM,,,CJK-B
𧨱,言广丶,BMKK,言广一,BMKF,CJK-B
𧨲,尚言,IByⓢ,,,CJK-B
𧨳,言卜早,BUJz,,,CJK-B
𧨴,言𬺰口彐,BHLB,,,CJK-B
𧨵,言厂缶,BVJf,,,CJK-B
𧨶,言艹夭,BSMy,,,CJK-B
𧨷,言止月,BPWy,,,CJK-B
𧨸,言冂龷八,BCSK,,,CJK-B
𧨹,言彐水,BBNs,言彑水,BENs,CJK-B
𧨺,立戈言,KKBy,,,CJK-B
𧨻,亻龷八言,ESKB,,,CJK-B
𧨼,言卜囗夊,BUWT,言卜囗夕,BUWX,CJK-B
𧨽,言阝亻寸,BPEH,,,CJK-B
𧨾,言冖八木,BXKA,,,CJK-B
𧨿,言工白,BPDb,,,CJK-B
𧩀,言亻夕夕,BEXX,,,CJK-B
𧩁,水言水,NBNs,,,CJK-B
𧩂,言亠勹方,BAWT,言二勹方,BIWT,CJK-B
𧩃,言艹乂乂,BSSS,,,CJK-B
𧩄,言一人工,BFRP,,,CJK-B
𧩅,言广七夊,BMXT,,,CJK-B
𧩆,言匚コ土,BHBH,,,CJK-B
𧩇,言心乃乀,BRGK,言心丿又,BRGB,CJK-B
𧩈,言户犬,BHHq,言戶犬,BDHq,CJK-B
𧩉,言广彐人,BMBR,,,CJK-B
𧩊,言大丷丂,BOQH,,,CJK-B
𧩋,木木言,AABy,,,CJK-B
𧩌,言子皿,BKUm,,,CJK-B
𧩍,言日コ人,BJBR,,,CJK-B
𧩎,言日勹,BJWC,,,CJK-B
𧩏,冫⺈厂言,IXVB,,,CJK-B
𧩐,言虍人,BURe,,,CJK-B
𧩑,言乚口月,BELW,,,CJK-B
𧩒,言彡母,BCEm,,,CJK-B
𧩓,言勹心,BWCR,,,CJK-B
𧩔,言广䒑十,BMQG,,,CJK-B
𧩕,言立女,BKCn,,,CJK-B
𧩖,言丑丑,BBBc,,,CJK-B
𧩗,言工厂尢,BPVF,,,CJK-B
𧩘,言乛彡彡,BYCC,,,CJK-B
𧩙,言日一廴,BJFG,,,CJK-B
𧩚,言大水,BONs,,,CJK-B
𧩛,言勹日丂,BWJH,,,CJK-B
𧩜,言廿木,BSAm,,,CJK-B
𧩝,言龵月,BFWy,,,CJK-B
𧩞,耳又言,LBBy,,,CJK-B
𧩟,言八厶心,BKNR,,,CJK-B
𧩠,言几丆日,BEVJ,,,CJK-B
𧩡,言尚,BIsⓨ,,,CJK-B
𧩢,言止匕口,BPNL,,,CJK-B
𧩣,言巛乂,BLDS,,,CJK-B
𧩤,言面,BSmⓨ,,,CJK-B
𧩥,未夊言,FTBy,,,CJK-B
𧩦,言了口一,BKLF,言丂口一,BHLF,CJK-B
𧩧,言广廿又,BMSB,,,CJK-B
𧩨,言亻コ矢,BEBJ,,,CJK-B
𧩩,言⺈厂矢,BXVJ,,,CJK-B
𧩪,言勹心,BWCR,,,CJK-B
𧩫,言大夕夕,BOXX,,,CJK-B
𧩬,言丆貝,BVJb,,,CJK-B
𧩭,言工月,BEPW,,,CJK-B
𧩮,言宀火又,BIIB,,,CJK-B
𧩯,言广䒑屮,BMQW,,,CJK-B
𧩰,言穴之,BIOz,,,CJK-B
𧩱,言尸䒑卄,BBQS,,,CJK-B
𧩲,言木口刂,BALM,,,CJK-B
𧩳,言艹𠂉,BSGU,,,CJK-B
𧩴,言尸匕木,BBNA,,,CJK-B
𧩵,言リ言,BQBy,,,CJK-B
𧩶,言丰刀大,BDMO,,,CJK-B
𧩷,言夕㔾心,BXAR,,,CJK-B
𧩸,言合卄,BRSo,,,CJK-B
𧩹,言方𠂉也,BTGO,,,CJK-B
𧩺,言彳艮,BCGg,,,CJK-B
𧩻,言𡗗一大,BOFO,,,CJK-B
𧩼,言至夊,BDTp,,,CJK-B
𧩽,言亠〢子,BAUK,,,CJK-B
𧩾,臣言,HGBy,臣𠂉一言,HGFB,CJK-B
𧩿,言弓弓八,BBBK,,,CJK-B
𧪀,言己工工,BOPP,,,CJK-B
𧪁,言𠂉也辶,BGOO,,,CJK-B
𧪂,言勹日子,BWJK,,,CJK-B
𧪃,言入言,BKBy,,,CJK-B
𧪄,言亻言,BEBy,,,CJK-B
𧪅,言女又心,BCBR,,,CJK-B
𧪆,言艹丁口,BSJL,,,CJK-B
𧪇,言大耳,BOLe,,,CJK-B
𧪈,言䒑月刂,BQWM,,,CJK-B
𧪉,言大亠𧘇,BOAG,,,CJK-B
𧪊,言卜口灬,BULI,,,CJK-B
𧪋,言艹心丿,BSRG,,,CJK-B
𧪌,言卜彐龰,BUBP,,,CJK-B
𧪍,言日皿,BJUm,,,CJK-B
𧪎,言口虫,BLQc,,,CJK-B
𧪏,言田,BVMc,,,CJK-B
𧪐,言艹干丷,BSNQ,,,CJK-B
𧪑,言禾日,BMJr,,,CJK-B
𧪒,言白水,BDNs,,,CJK-B
𧪓,言禺,BVyⓨ,,,CJK-B
𧪔,罒刀刀言,UMMB,,,CJK-B
𧪕,言尸二又,BBIB,,,CJK-B
𧪖,言戈工八,BKPK,,,CJK-B
𧪗,言千人凵,BMRW,,,CJK-B
𧪘,言羊工,BQPg,言羊丿工,BQGP,CJK-B
𧪙,言山禾刂,BUMM,,,CJK-B
𧪚,言山一䒑,BUFQ,,,CJK-B
