char,division,code,division_tw,code_tw,region
𥏮,矢立日,qoj,矢立日,qoj,CJK-B
𥏯,矢口早,qlj,矢口早,qlj,CJK-B
𥏰,彐丿匕,xwi,彐丿匕,xwi,CJK-B
𥏱,矢千里,qcn,矢千里,qcn,CJK-B
𥏲,矢人口,qrl,矢人口,qrl,CJK-B
𥏳,來厶矢,ekq,來厶矢,ekq,CJK-B
𥏴,矢口丂,qlu,矢口丂,qlu,CJK-B
𥏵,矢卯田,qin,矢卯田,qin,CJK-B
𥏶,匕矢女,iqo,匕矢女,iqo,CJK-B
𥏷,土白矢,gdq,土白矢,gdq,CJK-B
𥏸,矢山䒑,qjq,矢山䒑,qjq,CJK-B
𥏹,矢高,qoa,矢高,qoa,CJK-B
𥏺,矢羊工,qup,矢羊工,qup,CJK-B
𥏻,矢𠂉,qws,矢𠂉,qws,CJK-B
𥏼,矢口丂,qlu,矢口丂,qlu,CJK-B
𥏽,矢虍,qkj,矢虍,qkj,CJK-B
𥏾,矢口丂,qlu,矢口㇉,qle,CJK-B
𥏿,矢門口,qrl,矢門口,qrl,CJK-B
𥐀,矢其斤,qxn,矢其斤,qxn,CJK-B
𥐁,矢业夫,qyl,矢业夫,qyl,CJK-B
𥐂,上矢禺,kqj,上矢禺,kqj,CJK-B
𥐃,矢止丂,qtu,矢止丂,qtu,CJK-B
𥐄,䒑业矢,qyq,䒑业矢,qyq,CJK-B
𥐅,矢䒑日,qqj,矢䒑日,qqj,CJK-B
𥐆,矢一,qfa,矢一,qfa,CJK-B
𥐇,矢一艮,qfy,矢一艮,qfy,CJK-B
𥐈,矢米夊,qke,矢米夊,qke,CJK-B
𥐉,艮矢䒑,yqq,艮矢䒑,yqq,CJK-B
𥐊,矢白夊,qde,矢白夊,qde,CJK-B
𥐋,矢一乂,qfc,矢一乂,qfc,CJK-B
𥐌,矢亠二,qop,矢亠二,qop,CJK-B
𥐍,矢一䒑,qfq,矢一䒑,qfq,CJK-B
𥐎,矢雨而,qzo,矢雨而,qzo,CJK-B
𥐏,矢一口,qfl,矢一口,qfl,CJK-B
𥐐,矢一𧘇,qfw,矢一𧘇,qfw,CJK-B
𥐑,矢貝女,qmo,矢貝女,qmo,CJK-B
𥐒,矢一骨,qfv,矢一骨,qfv,CJK-B
𥐓,矢艹隹,qsz,矢卝隹,qsz,CJK-B
𥐔,矢一口,qfl,矢一口,qfl,CJK-B
𥐕,石乚,ueg,石乚,ueg,CJK-B
𥐖,丆一口,ufl,丆一口,ufl,CJK-B
𥐗,石㔾,uvi,石㔾,uvi,CJK-B
𥐘,厂二口,kpl,厂二口,kpl,CJK-B
𥐙,石八,uus,石八,uus,CJK-B
𥐚,石卜,uco,石卜,uco,CJK-B
𥐛,石刀,udk,石刀,udk,CJK-B
𥐜,石九,uwh,石九,uwh,CJK-B
𥐝,石勹丶,uho,石勹丶,uho,CJK-B
𥐞,石亡,uem,石亡,uem,CJK-B
𥐟,石丶乂,uoc,石丶乂,uoc,CJK-B
𥐠,石九丶,uwo,石九丶,uwo,CJK-B
𥐡,石亍,ujs,石亍,ujs,CJK-B
𥐢,石山,uju,石山,uju,CJK-B
𥐣,石川,uxc,石川,uxc,CJK-B
𥐤,石人㇉,ure,石人㇉,ure,CJK-B
𥐥,石丿几,uwq,石丿几,uwq,CJK-B
𥐦,石已,ual,石已,ual,CJK-B
𥐧,石卄,usk,石卄,usk,CJK-B
𥐨,石也,usi,石也,usi,CJK-B
𥐩,石勹二,uhp,石勹二,uhp,CJK-B
𥐪,石厶,usk,石厶,usk,CJK-B
𥐫,石卝,usk,石卝,usk,CJK-B
𥐬,石气,uwj,石气,uwj,CJK-B
𥐭,石𠂉十,uwd,石𠂉十,uwd,CJK-B
𥐮,石尸乀,ubo,石尸乀,ubo,CJK-B
𥐯,石二厶,upk,石二厶,upk,CJK-B
𥐰,石匚乂,ukc,石匚乂,ukc,CJK-B
𥐱,石冖几,uyq,石冖几,uyq,CJK-B
𥐲,石丿丶,uwo,石丿丶,uwo,CJK-B
𥐳,石一,ufj,石一,ufj,CJK-B
𥐴,石不,uiv,石不,uiv,CJK-B
𥐵,石兀乚,uye,石兀乚,uye,CJK-B
𥐶,石尤,ubd,石尤,ubd,CJK-B
𥐷,石勹乂,uhc,石勹乂,uhc,CJK-B
𥐸,石厶儿,ukq,石厶儿,ukq,CJK-B
𥐹,石二,upu,石二,upu,CJK-B
𥐺,石一幺,ufu,石一幺,ufu,CJK-B
𥐻,石冂乂,uzc,石冂乂,uzc,CJK-B
𥐼,石冂又,uzb,石冂又,uzb,CJK-B
𥐽,石毛,uxn,石毛,uxn,CJK-B
𥐾,石勹厶,uhk,石勹厶,uhk,CJK-B
𥐿,石⺀十,upd,石⺀十,upd,CJK-B
𥑀,石冖儿,uyq,石冖儿,uyq,CJK-B
𥑁,石巴,uaj,石巴,uaj,CJK-B
𥑂,石十又,udb,石十又,udb,CJK-B
𥑃,石亠卜,uoc,石亠卜,uoc,CJK-B
𥑄,石士乙,ugv,石士乙,ugv,CJK-B
𥑅,石𠂉九,uww,石𠂉九,uww,CJK-B
𥑆,石力口,uwl,石力口,uwl,CJK-B
𥑇,石丿夫,uwl,石丿夫,uwl,CJK-B
𥑈,石广丁,upa,石广丁,upa,CJK-B
𥑉,石厂巳,uka,石⺁㔾,unv,CJK-B
𥑊,石尸又,ubb,石尸又,ubb,CJK-B
𥑋,石又土,ubg,石又土,ubg,CJK-B
𥑌,石女又,uob,石女又,uob,CJK-B
𥑍,石丷,uqa,石丷,uqa,CJK-B
𥑎,石冂口,uzl,石冂口,uzl,CJK-B
