char,division,code,quick_simp,quick_trad,region,details
倌,亻宀尸コ,EOBB,eob,eob,GB2312,亻宀尸{コ同又}
倍,亻立口,EILv,eil,eil,GB2312,
倏,亻丨夂犬,ENES,,,GB2312,
倒,亻至刂,EHMd,eh,eh,GB2312,
倔,亻尸屮凵,EBXX,,,GB2312,亻尸{屮同凵}凵
倘,亻尚,ENs,,,GB2312,
候,亻丨コ矢,ENBQ,enb,enb,GB2312,亻丨{コ同又}矢
倚,亻大丁口,EGAL,ega,ega,GB2312,
倜,亻土口,EWHL,ewh,ewh,GB2312,亻{⺆同月}土口
借,亻龷日,ESJv,esj,esj,GB2312,
倡,亻日日,EJJv,ejj,ejj,GB2312,
倥,亻穴工,EPFo,epf,epf,GB2312,
倦,亻丷夫乙,EUGV,,,GB2312,
倨,亻尸古,EBDg,ebd,ebd,GB2312,
倩,亻龶月,EHWv,,,GB2312,
倪,亻臼儿,ERQr,erq,erq,GB2312,
倬,亻卜早,EMJo,,,GB2312,
倭,亻禾女,ERCv,erc,erc,GB2312,
倮,亻日木,EJFv,,,GB2312,
债,亻龶贝,EHKb,,,GB2312,
值,亻十且,EDMq,edm,,GB2312,
倾,亻匕贝,ERDK,,,GB2312,亻匕{丆同石}贝
偃,亻匚日女,EGJC,,egj,GB2312,
假,亻尸二又,EBSB,ebs,ebs,GB2312,
偈,亻日乚,EJWX,,,GB2312,亻日{⼓同月}乚
偌,亻艹口,ESSL,ess,ess,GB2312,亻艹{右頭}口
偎,亻田,EJGf,ejg,ejg,GB2312,亻田{畏下同匚}
偏,亻户冊,EONc,eon,eon,GB2312,
偕,亻匕匕白,ERRE,,,GB2312,
做,亻古夂,EDEh,ed,ed,GB2312,
停,亻丁,EPAn,epa,epa,GB2312,亻{高上同高}丁
健,亻彐廴,EXAX,exa,exa,GB2312,亻彐キ廴
偬,亻心,EWTY,ewt,ewt,GB2312,亻{⼓同月}{两撇同彡}心
偶,亻禺,EKy,,,GB2312,
偷,亻人一刂,ETFM,etf,etf,GB2312,
偻,亻米女,EPCv,epc,epc,GB2312,
偾,亻十卄贝,EDSK,,,GB2312,
偿,亻二厶,ENSV,,,GB2312,亻{尚头同尚}二厶
傀,亻鬼,EWu,,,GB2312,
傅,亻甫寸,EFAc,efa,efa,GB2312,
傈,亻覀木,EDFv,edf,edf,GB2312,
傍,亻亠丷方,EOUO,eou,eou,GB2312,
傣,亻𡗗水,EGKh,,,GB2312,
傥,亻尚儿,ENQr,enq,enq,GB2312,
傧,亻宀亻八,EOET,,,GB2312,
储,亻讠耂日,EOHJ,eoh,eoh,GB2312,
傩,亻又隹,EBWi,ebw,ebw,GB2312,
催,亻山隹,EJWi,ejw,ejw,GB2312,
傲,亻龶夂,EHWE,ehw,ehw,GB2312,亻龶{⼓同月}夂
傺,亻示,EWHs,,,GB2312,亻{祭上同月}示
傻,亻乂夂,ERWE,erw,erw,GB2312,亻{囟框同向}乂夂
像,亻冖口豕,EYLD,eyl,eyl,GB2312,
僖,亻士口口,EHLL,,,GB2312,
僚,亻大丷小,EGUM,,,GB2312,
僦,亻亠口尤,EOLD,eol,eol,GB2312,
僧,亻丷日日,EUJJ,euj,euj,GB2312,
僬,亻隹灬,EWUh,,,GB2312,
僭,亻匚儿日,EGQJ,egq,egq,GB2312,
僮,亻立甲二,EIKS,eik,eik,GB2312,
僳,亻覀米,EDPm,,,GB2312,
僵,亻三田田,EFJJ,,,GB2312,
僻,亻尸口辛,EBLO,ebl,ebl,GB2312,
儆,亻艹夂,ESWE,esw,esw,GB2312,亻艹{⼓同月}夂
儇,亻罒一𧘇,EMFW,emf,emf,GB2312,
儋,亻冖厂言,EYSU,,,GB2312,
儒,亻雨而,EDSj,eds,eds,GB2312,
儡,亻田田田,EJJJ,,,GB2312,
儿,儿,Qrƒ,qr,,GB2312,
兀,兀,Hwƒ,,,GB2312,
允,厶儿,VQr,,,GB2312,
元,一兀,FHwi,fh,fh,GB2312,
兄,口儿,LQr,,lq,GB2312,
充,亠厶儿,OVQr,ov,ov,GB2312,
兆,儿二二,QSSr,qss,,GB2312,
先,儿,WQrn,wq,wq,GB2312,⺧儿
光,小兀,MHwa,mh,mh,GB2312,
克,古儿,DQrg,dqr,dqr,GB2312,
免,冖口儿,YLQr,ylq,ylq,GB2312,
兑,丷口儿,ULQr,,,GB2312,
兔,冖口儿丶,YLQO,,,GB2312,
兕,兀,KHwg,khw,khw,GB2312,{雋下同冂}兀
兖,亠八厶儿,OTVQ,,,GB2312,
党,尚儿,NQrs,nqr,nqr,GB2312,
兜,白コ儿,ETBQ,,,GB2312,白{卬左同卯}{コ同又}儿
兢,古儿古儿,DQDQ,dqd,dqd,GB2312,
入,入,Ruƒ,,,GB2312,
全,人王,TGve,tg,tg,GB2312,
八,八,Tbƒ,tb,tb,GB2312,
公,八厶,TVvb,tv,tv,GB2312,
六,亠八,OTb,,,GB2312,
兮,八丂,TSkb,tsk,ts,GB2312,
兰,䒑二,USrh,usr,usr,GB2312,
共,龷八,STb,,,GB2312,
关,䒑大,UGdh,ug,ugd,GB2312,
兴,ッ一八,IFTb,ift,,GB2312,{三點同氵}一八
兵,亻工八,EFTb,eft,,GB2312,
其,其,Dqƒ,dq,dq,GB2312,
具,且八,MTbq,mt,mt,GB2312,
典,冂龷八,KSTb,kst,kst,GB2312,
兹,䒑幺幺,UCCo,,,GB2312,
养,䒑夫,UGTb,ugt,,GB2312,䒑夫{介下同八}
兼,䒑彐〢八,UXNT,,,GB2312,
兽,丷田一口,UJFL,ujf,ujf,GB2312,
冀,丬匕田八,URJT,urj,urj,GB2312,
