char,division,code,quick_simp,quick_trad,region,details
𢁬,巾爪,MEkj,,,CJK-B,
𢁭,人一一巾,TFFM,,,CJK-B,
𢁮,巾人丶乙,MTOV,,,CJK-B,
𢁯,巾日,MJvj,,,CJK-B,
𢁰,人丷巾,TUMj,,,CJK-B,
𢁱,巾夭,MEoj,,,CJK-B,
𢁲,巾厶儿,MVQr,,,CJK-B,
𢁳,歹巾,DMjd,,,CJK-B,
𢁴,一幺巾,FCMj,,,CJK-B,
𢁵,巾攴,MKuj,,,CJK-B,
𢁶,巾冂又,MKBu,,,CJK-B,
𢁷,巾八厶,MTVv,,,CJK-B,
𢁸,巾方,MOgj,,,CJK-B,
𢁹,亻二巾,ESMj,,,CJK-B,
𢁺,一乙巾,EFVM,,,CJK-B,{𠂆同斤}一乙巾
𢁻,巾巾,MSMj,,,CJK-B,巾{右頭}巾
𢁼,巾宀丁,MOAn,,,CJK-B,
𢁽,巾心丿,MYQp,,,CJK-B,
𢁾,巾刀口,MBLv,,,CJK-B,
𢁿,巾一止,MFNi,,,CJK-B,
𢂀,巾弓,MVTb,,,CJK-B,巾弓{介下同八}
𢂁,巾口,MWLv,,,CJK-B,巾{⼓同月}口
𢂂,人丶又巾,TOBM,,,CJK-B,人丶{マ同又}巾
𢂃,巾,MQMo,,,CJK-B,巾{丿一同竹}{乍下同卜}
𢂄,巾亠幺,MOCo,,,CJK-B,
𢂅,巾幺刀,MCBd,,,CJK-B,
𢂆,巾亻寸,MEAc,,,CJK-B,
𢂇,一丷冖巾,FUYM,,,CJK-B,
𢂈,巾且,MMqj,,,CJK-B,
𢂉,巾一巾一,MFMF,,,CJK-B,
𢂊,巾幺力,MCXl,,,CJK-B,
𢂋,亠口巾,OLMj,,,CJK-B,
𢂌,巾亻弋,MEGy,,,CJK-B,
𢂍,巾丿乚丿,MQXQ,,,CJK-B,
𢂎,巾由,MKoj,,,CJK-B,
𢂏,一巾一巾,FMFM,,,CJK-B,
𢂐,巾力力力,MXXX,,,CJK-B,
𢂑,巾弋工,MGFo,,,CJK-B,
𢂒,巾大弓,MGVo,,,CJK-B,
𢂓,巾冂一口,MKFL,,,CJK-B,
𢂔,巾龷八,MSTb,,,CJK-B,
𢂕,巾冖厂乙,MYSV,,,CJK-B,
𢂖,丬匕一巾,URFM,,,CJK-B,
𢂗,一卩巾,TFXM,,,CJK-B,{卬左同卯}一卩巾
𢂘,巾人王,MTGv,,,CJK-B,
𢂙,亠厶巾,OVQM,,,CJK-B,亠厶{荒下同儿}巾
𢂚,亠日巾,OJMj,,,CJK-B,
𢂛,一巾千又,FMWB,,,CJK-B,
𢂜,彐丿巾,XQSM,,,CJK-B,彐丿{右頭}巾
𢂝,巾电丿,MKQp,,,CJK-B,
𢂞,乂乂巾,WWSM,,,CJK-B,乂乂{右頭}巾
𢂟,丩又コ巾,XBBM,,,CJK-B,{丩同凵}又{コ同又}巾
𢂠,亡巾,UQMj,,,CJK-B,亡{荒下同儿}巾
𢂡,巾二日,MSJv,,,CJK-B,
𢂢,巾耂匕,MHRi,,,CJK-B,
𢂣,巾丨子,MSNB,,,CJK-B,巾{右頭}丨子
𢂤,一巾丶,FMSO,,,CJK-B,一巾{右頭}丶
𢂥,巾歹刂,MDMd,,,CJK-B,
𢂦,卜日巾,MJMj,,,CJK-B,
𢂧,巾亻壬,MEEe,,,CJK-B,
𢂨,丿几丿巾,QQQM,,,CJK-B,
𢂩,巾亡巛,MUVh,,,CJK-B,
𢂪,亡川巾,UQMj,,,CJK-B,
𢂫,彐丿冖巾,XQYM,,,CJK-B,
𢂬,女又丿巾,CBQM,,,CJK-B,
𢂭,丩又又巾,XBBM,,,CJK-B,{丩同凵}又{マ同又}巾
𢂮,巾壬儿,MEQr,,,CJK-B,
𢂯,十人人巾,DTTM,,,CJK-B,
𢂰,巾冖彐乙,MYXV,,,CJK-B,
𢂱,巾口月,MLWv,,,CJK-B,
𢂲,巾八人口,MTTL,,,CJK-B,
𢂳,巾母,MQBm,,,CJK-B,巾{丿一同竹}母
𢂴,巾士心,MHYv,,,CJK-B,
𢂵,巾戈卄,MGSv,,,CJK-B,
𢂶,巾冂八口,MKTL,,,CJK-B,
𢂷,亠巾合,OMYe,,,CJK-B,
𢂸,卄一儿巾,SFQM,,,CJK-B,
𢂹,巾白儿,MEQr,,,CJK-B,
𢂺,卜夕又巾,MRBM,,,CJK-B,
𢂻,巾刀丶心,MBOY,,,CJK-B,
𢂼,扌斤巾,AEMj,,,CJK-B,
𢂽,巾彐丿口,MXQL,,,CJK-B,
𢂾,巾艹亡,MSUw,,,CJK-B,
𢂿,巾大人人,MGTT,,,CJK-B,
𢃀,巾工人人,MFTT,,,CJK-B,
𢃁,冂巾,RKTM,,,CJK-B,{向框同向}冂{两撇同彡}巾
𢃂,女又巾,CBTM,,,CJK-B,女又{两撇同彡}巾
𢃃,且力巾,MXMj,,,CJK-B,
𢃄,世冖巾,HYMj,,,CJK-B,
𢃅,巾广木,MUFv,,,CJK-B,
𢃆,彐丿口巾,XQLM,,,CJK-B,
𢃇,巾甲二,MKSr,,,CJK-B,
𢃈,巾王卄,MGSv,,,CJK-B,
𢃉,巾口力刂,MLXM,,,CJK-B,
𢃊,巾乙口,SMVL,,,CJK-B,{右頭}巾乙口
𢃋,口口一巾,LLFM,,,CJK-B,
𢃌,止匕巾,NRSM,,,CJK-B,止匕{右頭}巾
𢃍,巾十,MWDh,,,CJK-B,巾{卑上同鬼}十
𢃎,巾戈口一,MGLF,,,CJK-B,
𢃏,巾宀示,MOHs,,,CJK-B,
𢃐,巾穴工,MPFo,,,CJK-B,
𢃑,巾日日,MJJv,,,CJK-B,
𢃒,巾亠人十,MOTD,,,CJK-B,
𢃓,巾木八厶,MFTV,,,CJK-B,
𢃔,巾火火,MUUv,,,CJK-B,
𢃕,巾水日,MKJv,,,CJK-B,
𢃖,巾土口,MWHL,,,CJK-B,巾{⺆同月}土口
𢃗,巾乙水凵,MVKX,,,CJK-B,
𢃘,户夂巾,OEMj,,,CJK-B,
𢃙,巾宀尸コ,MOBB,,,CJK-B,巾宀尸{コ同又}
𢃚,巾日匕匕,MJRR,,,CJK-B,
𢃛,其巾,DMjq,,,CJK-B,
𢃜,巾十且,MDMq,,,CJK-B,
𢃝,上小又巾,KMBM,,,CJK-B,
𢃞,巾彐冖巾,MXYM,,,CJK-B,
𢃟,巾龷日,MSJv,,,CJK-B,
𢃠,巾囗夂⺀,MNES,,,CJK-B,巾囗夂{两点同二}
𢃡,巾日,MJWT,,,CJK-B,巾日{⼓同月}{两撇同彡}
𢃢,巾龶月,MHWv,,,CJK-B,
𢃣,巾耳又,MABu,,,CJK-B,
𢃤,戈口一巾,GLFM,,,CJK-B,
𢃥,臣又巾,SBMj,,,CJK-B,
𢃦,巾日木,MJFv,,,CJK-B,
𢃧,巾八厶心,MTVY,,,CJK-B,
𢃨,巾广矢,MUQi,,,CJK-B,
𢃩,巾丷夫乙,MUGV,,,CJK-B,
𢃪,木八厶巾,FTVM,,,CJK-B,
𢃫,巾匚大人,MGGT,,,CJK-B,
𢃬,䒑月刂巾,UWMM,,,CJK-B,
𢃭,巾心,MWTY,,,CJK-B,巾{⼓同月}{两撇同彡}心
𢃮,巾面,MGij,,,CJK-B,
𢃯,巾癶一大,MBFG,,,CJK-B,巾{登上同又}一大
𢃰,巾日一龰,MJFN,,,CJK-B,
𢃱,巾卄二木,MSSF,,,CJK-B,
𢃲,巾革,MGej,,,CJK-B,
𢃳,彐冖巾巴,XYMC,,,CJK-B,
𢃴,木口刂巾,FLMM,,,CJK-B,
𢃵,臼冖巾,RYMj,,,CJK-B,
𢃶,巾龶母,MHBm,,,CJK-B,
𢃷,山山巾巾,JJMM,,,CJK-B,
𢃸,巾禾火,MRUv,,,CJK-B,
𢃹,冂冂八巾,KKTM,,,CJK-B,
𢃺,白巾乃丶,EMVO,,,CJK-B,
𢃻,乙巾,DVTM,,,CJK-B,{丆同石}乙{两撇同彡}巾
𢃼,巾目,MBMv,,,CJK-B,巾{眉上同尸}目
𢃽,巾覀女,MDCv,,,CJK-B,
𢃾,巾而大,MSGd,,,CJK-B,
𢃿,巾木囗丷,MFNU,,,CJK-B,
𢄀,一冖巾巾,FYMM,,,CJK-B,
𢄁,〢䒑䒑巾,NUUM,,,CJK-B,
𢄂,且力亠巾,MXOM,,,CJK-B,
𢄃,巾氵𧘇,MIEW,,,CJK-B,巾氵{𠂆同斤}𧘇
𢄄,屮一巾且,XFMM,,,CJK-B,{屮同凵}一巾且
𢄅,巾戈一火,MGFU,,,CJK-B,
𢄆,屮屮宀巾,XXOM,,,CJK-B,{屮同凵}{屮同凵}宀巾
𢄇,白巾厶,EMWV,,,CJK-B,白巾{⼓同月}厶
𢄈,巾立日,MIJv,,,CJK-B,
𢄉,一巾冖又,FMYB,,,CJK-B,
𢄊,巾鬼,MWuj,,,CJK-B,
𢄋,火火冖巾,UUYM,,,CJK-B,
𢄌,巾乂朩殳,MWFQ,,,CJK-B,
𢄍,巾土厶皿,MHVM,,,CJK-B,
𢄎,巾亠丷方,MOUO,,,CJK-B,
𢄏,宀八巾,OSTM,,,CJK-B,宀{冓上同艹}八巾
𢄐,巾冖一豕,MYFD,,,CJK-B,
𢄑,巾丷夫巾,MUGM,,,CJK-B,
𢄒,巾户羽,MOXu,,,CJK-B,
𢄓,巾烏,MYwj,,,CJK-B,
𢄔,卄一巾,QSFM,,,CJK-B,{丿一同竹}卄一巾
𢄕,人亠凵巾,TOXM,,,CJK-B,
𢄖,由丩巾,KXTM,,,CJK-B,由{丩同凵}{癶右同彡}巾
𢄗,白巾冂口,EMKL,,,CJK-B,
𢄘,豕辶巾,DPMj,,,CJK-B,
𢄙,巾口貝,MLMb,,,CJK-B,
𢄚,臼夕巾,RRMj,,,CJK-B,
𢄛,巾弓工白,MVFE,,,CJK-B,
𢄜,巾又囗十,MBND,,,CJK-B,巾{マ同又}囗十
𢄝,白巾巳,EMWX,,,CJK-B,白巾{⼓同月}巳
𢄞,米夂巾,PEMj,,,CJK-B,
𢄟,巾又用辶,MBTP,,,CJK-B,巾{マ同又}用辶
𢄠,巾匚口口,MGLL,,,CJK-B,
𢄡,未夂厂巾,HESM,,,CJK-B,
𢄢,土八土巾,HTHM,,,CJK-B,
𢄣,巾丰丰彐,MDDX,,,CJK-B,
𢄤,車斤巾,GEMj,,,CJK-B,
𢄥,彐冖巾巾,XYMM,,,CJK-B,
𢄦,巾鳥,MRoj,,,CJK-B,
𢄧,方矢巾,OQQM,,,CJK-B,方{丿一同竹}矢巾
𢄨,巾宀一八,MOFT,,,CJK-B,
𢄩,巾卄一巾,MSFM,,,CJK-B,
𢄪,巾羽人彡,MXTT,,,CJK-B,
𢄫,亠丷冖コ,OUYB,,,CJK-B,亠丷冖{コ同又}
𢄬,十冖巾巾,DYMM,,,CJK-B,
𢄭,巾羽白,MXEb,,,CJK-B,
𢄮,予冂人巾,CKTM,,,CJK-B,
𢄯,巾母夂,MQBE,,,CJK-B,巾{丿一同竹}母夂
𢄰,巾夂丷口,MEUL,,,CJK-B,
𢄱,巾車辶,MGPo,,,CJK-B,
𢄲,方乙巾,OQVM,,,CJK-B,方{丿一同竹}乙巾
𢄳,巾大耂日,MGHJ,,,CJK-B,
𢄴,巾亠夕𧘇,MORW,,,CJK-B,
𢄵,巾冖口豕,MYLD,,,CJK-B,
𢄶,巾彐土一,MXHF,,,CJK-B,
𢄷,巾大丷小,MGUM,,,CJK-B,
𢄸,巾日耳又,MJAB,,,CJK-B,
𢄹,巾夭口口,MELL,,,CJK-B,
𢄺,巾隹灬,MWUh,,,CJK-B,
𢄻,巾龷月夂,MSWE,,,CJK-B,
𢄼,彡貝巾,TDMM,,,CJK-B,彡{丆同石}貝巾
𢄽,巾弋二貝,MGSM,,,CJK-B,
𢄾,日一一巾,JFFM,,,CJK-B,
𢄿,十口冖巾,DLYM,,,CJK-B,
𢅀,巾覀早,MDJo,,,CJK-B,
𢅁,爪子白巾,EBEM,,,CJK-B,
𢅂,巾弓工口,MVFL,,,CJK-B,
𢅃,巾癶一几,MBFQ,,,CJK-B,巾{登上同又}一几
𢅄,罒土厶巾,MHVM,,,CJK-B,
𢅅,巾厂䒑欠,MSUE,,,CJK-B,
𢅆,巾艹日月,MSJW,,,CJK-B,
𢅇,山巾屮毛,JMXR,,,CJK-B,山巾{屮同凵}毛
𢅈,亠巾亠巾,OMOM,,,CJK-B,
𢅉,白巾白儿,EMEQ,,,CJK-B,
𢅊,卌一巾,QSFM,,,CJK-B,{丿一同竹}卌一巾
𢅋,巾丷日日,MUJJ,,,CJK-B,
𢅌,爪巾,EYMj,,,CJK-B,爪{爲下}巾
𢅍,士冖石巾,HYDM,,,CJK-B,
𢅎,巾白方夂,MEOE,,,CJK-B,
𢅏,巾广䒑八,MUUT,,,CJK-B,
𢅐,巾僉,MRlj,,,CJK-B,
𢅑,巾冖彐灬,MYXU,,,CJK-B,
𢅒,巾亠囗一,MONF,,,CJK-B,
𢅓,艹罒戈巾,SMGM,,,CJK-B,
𢅔,巾艹耂日,MSHJ,,,CJK-B,
𢅕,巾䒑豕辶,MUDP,,,CJK-B,
𢅖,巾立丿八,MIQT,,,CJK-B,
𢅗,巾咼辶,MNPo,,,CJK-B,
𢅘,巾艹罒几,MSMQ,,,CJK-B,
𢅙,巾木冂貝,MFKM,,,CJK-B,
𢅚,巾覀示刂,MDHM,,,CJK-B,
𢅛,亠丷冖彡,OUYT,,,CJK-B,
𢅜,彐冖巾巾,XYMM,,,CJK-B,
𢅝,尸龷八巾,BSTM,,,CJK-B,
𢅞,白巾彐水,EMXK,,,CJK-B,
𢅟,巾匕矢龰,MRQN,,,CJK-B,
𢅠,厂日月巾,SJWM,,,CJK-B,
𢅡,巾臣皿,MSQM,,,CJK-B,巾臣{⺮右同竹}皿
𢅢,山一一又,JFFB,,,CJK-B,
𢅣,巾士口至,MHLH,,,CJK-B,
𢅤,巾艹土皿,MSHM,,,CJK-B,
𢅥,巾厂士寸,MSHA,,,CJK-B,
𢅦,彐冖巾龰,XYMN,,,CJK-B,
𢅧,巾糹白巾,MBEM,,,CJK-B,
𢅨,日一龰巾,JFNM,,,CJK-B,
𢅩,巾罒厶匕,MMVR,,,CJK-B,
𢅪,巾戊上心,MDKY,,,CJK-B,
𢅫,巾丰丰心,MDDY,,,CJK-B,
𢅬,白巾十八,EMDT,,,CJK-B,
𢅭,巾木口貝,MFLM,,,CJK-B,
𢅮,土八土巾,HTHM,,,CJK-B,
𢅯,巾大隹田,MGWJ,,,CJK-B,
𢅰,巾門臼儿,MKRQ,,,CJK-B,
𢅱,巾弓工灬,MVFU,,,CJK-B,
𢅲,土䒑十巾,HUDM,,,CJK-B,
𢅳,巾立丿八,MIQT,,,CJK-B,
𢅴,巾艹罒目,MSMM,,,CJK-B,
𢅵,巾竹罒戊,MQMD,,,CJK-B,
𢅶,巾竹囗乚,MQNX,,,CJK-B,
𢅷,艹丷巾巾,SUMM,,,CJK-B,
𢅸,僉夂巾,REMj,,,CJK-B,
𢅹,巾合口冊,MYLN,,,CJK-B,
𢅺,彐土日巾,XHJM,,,CJK-B,
𢅻,巾隹隹又,MWWB,,,CJK-B,
𢅼,巾一自夂,MFTE,,,CJK-B,
𢅽,巾臼火,MRRU,,,CJK-B,巾臼{囟框同向}火
𢅾,巾罒糹隹,MMBW,,,CJK-B,
𢅿,巾大卄木,MGSF,,,CJK-B,
𢆀,巾囗口王,MNLG,,,CJK-B,
𢆁,巾竹广八,MQUT,,,CJK-B,
𢆂,巾立月刂,MIWM,,,CJK-B,
𢆃,巾䒑自夂,MUTE,,,CJK-B,
𢆄,巾艹門丷,MSKU,,,CJK-B,
𢆅,彐土日巾,XHJM,,,CJK-B,
𢆆,巾艹止夂,MSNE,,,CJK-B,
𢆇,白癶巾木,EBMF,,,CJK-B,白{登上同又}巾木
𢆈,彳韋亍又,RCAB,,,CJK-B,
𢆉,䒑十,UDhh,,,CJK-B,
𢆊,干丷丁,HUAn,,,CJK-B,
𢆋,厶儿干,VQHg,,,CJK-B,
𢆌,卜厂干,MSHg,,,CJK-B,
𢆍,千日,WJvq,,,CJK-B,
𢆎,大丷干,GUHg,,,CJK-B,
𢆏,十亠十,QDOD,,,CJK-B,{丿一同竹}十亠十
𢆐,干,SAHg,,,CJK-B,{右頭}キ干
𢆑,人人人干,TTTH,,,CJK-B,
𢆒,上干干,KHHg,,,CJK-B,
𢆓,不干丷,DHUh,,,CJK-B,
𢆔,口口干,LLHg,,,CJK-B,
𢆕,干丷又,HUEB,,,CJK-B,干丷{𠂆同斤}又
𢆖,一口干,FCLH,,,CJK-B,一{五下同韋}口干
𢆗,䒑卄丑,USBc,,,CJK-B,
𢆘,ヰ欠,QAEi,,,CJK-B,{丿一同竹}ヰ欠
𢆙,刀刀干干,BBHH,,,CJK-B,
𢆚,一卄木口,FSFL,,,CJK-B,
𢆛,一卄䒑卄,FSUS,,,CJK-B,
𢆜,日人干,JWTH,,,CJK-B,日{⼓同月}人干
𢆝,日一龰干,JFNH,,,CJK-B,
𢆞,干干木口,HHFL,,,CJK-B,
𢆟,由䒑卄,KUSv,,,CJK-B,
𢆠,來干丷,DHUh,,,CJK-B,
𢆡,爪子乚ヰ,EBXA,,,CJK-B,
𢆢,夕匚コ卄,RGBS,,,CJK-B,夕匚{コ同又}卄
𢆣,䒑卄亠丶,USOO,,,CJK-B,
𢆤,丷夫乙ヰ,UGVA,,,CJK-B,
𢆥,十冂䒑ヰ,DKUA,,,CJK-B,
𢆦,罒干木日,MHFJ,,,CJK-B,
𢆧,土䒑十夂,HUDE,,,CJK-B,
𢆨,木夂土十,FEHD,,,CJK-B,
𢆩,冖丶匚干,YOGH,,,CJK-B,
𢆪,土䒑十二,HUDS,,,CJK-B,
𢆫,ヰ止小,QANM,,,CJK-B,{丿一同竹}ヰ止小
𢆬,木口木卄,FLFS,,,CJK-B,
𢆭,巛囗乂ヰ,VNWA,,,CJK-B,
𢆮,干丷艹臣,HUSS,,,CJK-B,
𢆯,幺丨,CNso,,,CJK-B,
𢆰,一幺,FCoi,,,CJK-B,
𢆱,乙幺,VCoi,,,CJK-B,
𢆲,幺力,CXlo,,,CJK-B,
𢆳,幺了,CVlo,,,CJK-B,
𢆴,幺了,CVlo,,,CJK-B,
𢆵,幺乙一,CVFi,,,CJK-B,
𢆶,幺幺,CCoo,,,CJK-B,
𢆷,幺小丿,CMQp,,,CJK-B,
𢆸,乚幺幺,XCCo,,,CJK-B,
𢆹,幺二厶,CSVv,,,CJK-B,
𢆺,一丩乚幺,FXXC,,,CJK-B,一{丩同凵}乚幺
𢆻,幺幺几,CCQj,,,CJK-B,
𢆼,幺幺又,CCBu,,,CJK-B,
𢆽,幺丨小丿,CNMQ,,,CJK-B,
𢆾,丿幺丿幺,QCQC,,,CJK-B,
𢆿,乂幺,RWCo,,,CJK-B,{囟框同向}乂幺
𢇀,幺尸工,CBFo,,,CJK-B,
𢇁,幺幺灬,CCUh,,,CJK-B,
𢇂,幺幺卄,CCSv,,,CJK-B,
𢇃,幺八幺八,CTCT,,,CJK-B,
𢇄,幺氵小丿,CIMQ,,,CJK-B,
𢇅,幺幺卝,CCSv,,,CJK-B,
𢇆,乂幺丨,RWCN,,,CJK-B,{囟框同向}乂幺丨
𢇇,幺幺丱,CCXc,,,CJK-B,幺幺{丱同凵}
𢇈,幺幺大丷,CCGU,,,CJK-B,
𢇉,幺乙文寸,CVPA,,,CJK-B,
𢇊,刀口阝丨,BLCN,,,CJK-B,
𢇋,幺丨日乚,CNJX,,,CJK-B,
𢇌,彳止龰幺,RNNC,,,CJK-B,
𢇍,幺幺一乙,CCFV,,,CJK-B,
𢇎,幺扌大口,CAGL,,,CJK-B,
𢇏,爪爪幺幺,EECC,,,CJK-B,
𢇐,幺冖口豕,CYLD,,,CJK-B,
𢇑,山幺幺幺,JCCC,,,CJK-B,
𢇒,幺幺戈乙,CCGV,,,CJK-B,
𢇓,幺幺戈乙,CCGV,,,CJK-B,
𢇔,幺力日小,CXJM,,,CJK-B,
𢇕,山幺幺幺,JCCC,,,CJK-B,
𢇖,幺幺文犭,CCPR,,,CJK-B,
𢇗,广下,UAku,,,CJK-B,
𢇘,广女,UCvu,,,CJK-B,
𢇙,广弋,UGyu,,,CJK-B,
𢇚,广也,UCyu,,,CJK-B,
𢇛,广干,UHgu,,,CJK-B,
𢇜,广亡,UUwu,,,CJK-B,
𢇝,广幺,UCou,,,CJK-B,
𢇞,广口,ULvu,,,CJK-B,
𢇟,广兀,UHwu,,,CJK-B,
𢇠,广丿七,UQAi,,,CJK-B,
𢇡,广一丂,UFSk,,,CJK-B,
𢇢,广山,UJsu,,,CJK-B,
𢇣,广欠,UEiu,,,CJK-B,
𢇤,广水,UKhu,,,CJK-B,
𢇥,广九十,UYDh,,,CJK-B,
𢇦,广壬,UEeu,,,CJK-B,
𢇧,广冖儿,UYQr,,,CJK-B,
𢇨,广一幺,UFCo,,,CJK-B,
𢇩,广一卄,UFSv,,,CJK-B,
𢇪,广又,UEBu,,,CJK-B,广{𠂆同斤}又
𢇫,广丿之,UQOk,,,CJK-B,
𢇬,广又,USBu,,,CJK-B,广{右頭}又
𢇭,广ッ乀,UIOd,,,CJK-B,广{三點同氵}乀
𢇮,广攴,UKuu,,,CJK-B,
𢇯,广亻又,UEBu,,,CJK-B,
𢇰,广厶儿,UVQr,,,CJK-B,
𢇱,广八丂,UTSk,,,CJK-B,
𢇲,广禾,URhu,,,CJK-B,
𢇳,广皮,UVpu,,,CJK-B,
𢇴,广巾,USMj,,,CJK-B,广{右頭}巾
𢇵,广囗又,UNBu,,,CJK-B,
𢇶,广田,UJtu,,,CJK-B,
𢇷,广又丶,USBO,,,CJK-B,广{右頭}又丶
𢇸,广世,UHiu,,,CJK-B,
𢇹,广亻工,UEFo,,,CJK-B,
𢇺,广冂口,UKLv,,,CJK-B,
𢇻,广矢,UQiu,,,CJK-B,
𢇼,广七乚,UTAX,,,CJK-B,广{卬左同卯}七乚
𢇽,广士又,UHBu,,,CJK-B,
𢇾,广卄二,USSr,,,CJK-B,
𢇿,广屮凵,UXXc,,,CJK-B,广{屮同凵}凵
𢈀,广〢䒑,UNUh,,,CJK-B,
𢈁,广人口,UTLv,,,CJK-B,
𢈂,广尸コ,UBBu,,,CJK-B,广尸{コ同又}
𢈃,广山匕,UJRi,,,CJK-B,
𢈄,广亻丿七,UEQA,,,CJK-B,
𢈅,广瓜,UQuu,,,CJK-B,
𢈆,广刀口,UBLv,,,CJK-B,
𢈇,广儿,UWQr,,,CJK-B,广⺧儿
𢈈,广合,UYeu,,,CJK-B,
𢈉,广冂一口,UKFL,,,CJK-B,
𢈊,广缶,UWou,,,CJK-B,
𢈋,广厶月,UVWv,,,CJK-B,
𢈌,广冖厂乙,UYSV,,,CJK-B,
𢈍,广米,UPmu,,,CJK-B,
𢈎,广龷八,USTb,,,CJK-B,
𢈏,广丨彐八,UNXT,,,CJK-B,
𢈐,广龷几,USQj,,,CJK-B,
𢈑,广九八刀,UYTB,,,CJK-B,
𢈒,广艹乂,USWa,,,CJK-B,
𢈓,广月,USWv,,,CJK-B,广{右頭}月
𢈔,广日乂,UJWa,,,CJK-B,
𢈕,广𧘇,UEWy,,,CJK-B,广{𠂆同斤}𧘇
𢈖,广王冂,UGKg,,,CJK-B,
𢈗,广口乂乚,ULWX,,,CJK-B,
𢈘,广コ八〢,UBTN,,,CJK-B,广{コ同又}八〢
𢈙,广大人人,UGTT,,,CJK-B,
𢈚,广口口,ULLv,,,CJK-B,
𢈛,广囗木,UNFv,,,CJK-B,
𢈜,广爿士,UXHh,,,CJK-B,
𢈝,广一水丶,UFKO,,,CJK-B,
𢈞,广卜囗コ,UMNB,,,CJK-B,广卜囗{コ同又}
𢈟,广厶矢,UVQi,,,CJK-B,
𢈠,广木口,UFLv,,,CJK-B,
𢈡,广厶八夂,UVTE,,,CJK-B,
𢈢,广口口丨,ULLN,,,CJK-B,
𢈣,广夂,UREh,,,CJK-B,广{囟框同向}夂
𢈤,广七甲,UAKa,,,CJK-B,
𢈥,广見,UMxu,,,CJK-B,
𢈦,广夂丰,UEDn,,,CJK-B,
𢈧,广丬十又,UUDB,,,CJK-B,
𢈨,广止小,UNMa,,,CJK-B,
𢈩,广走,UDku,,,CJK-B,
𢈪,广一口,UFCL,,,CJK-B,广一{五下同韋}口
𢈫,广辰,USnu,,,CJK-B,
𢈬,广十目,UDMv,,,CJK-B,
𢈭,广小月,UMWv,,,CJK-B,
𢈮,广口上八,ULKT,,,CJK-B,
𢈯,广身,UWeu,,,CJK-B,
𢈰,广彐人十,UXTD,,,CJK-B,
𢈱,广禾刂,URMd,,,CJK-B,
𢈲,广日子,UJBi,,,CJK-B,
𢈳,广八厶心,UTVY,,,CJK-B,
𢈴,广亠口小,UOLM,,,CJK-B,
𢈵,广穴工,UPFo,,,CJK-B,
𢈶,广虎,UMhu,,,CJK-B,
𢈷,广田丌,UJAj,,,CJK-B,
𢈸,广人丶心,UTOY,,,CJK-B,
𢈹,广𠂤十,UYDh,,,CJK-B,
𢈺,广亠囗口,UONL,,,CJK-B,
𢈻,广一彐龰,UFXN,,,CJK-B,
𢈼,广亠人十,UOTD,,,CJK-B,
𢈽,广戈戈,UGGg,,,CJK-B,
𢈾,广耳又,UABu,,,CJK-B,
𢈿,广戈口一,UGLF,,,CJK-B,
𢉀,广雨,UDyu,,,CJK-B,
𢉁,广月月,UWWv,,,CJK-B,
𢉂,广宀尸コ,UOBB,,,CJK-B,广宀尸{コ同又}
𢉃,广人干口,UTHL,,,CJK-B,
𢉄,广人丶欠,UTOE,,,CJK-B,
𢉅,广金,URnu,,,CJK-B,
𢉆,广彐廴,UXAX,,,CJK-B,广彐キ廴
𢉇,广夭龰,UENh,,,CJK-B,
𢉈,广士口凵,UHLX,,,CJK-B,
𢉉,广大丷土,UGUH,,,CJK-B,
𢉊,广立廴,UIXn,,,CJK-B,
𢉋,广丰月,UDWv,,,CJK-B,
𢉌,广上小又,UKMB,,,CJK-B,
𢉍,广止灬,UNUh,,,CJK-B,
𢉎,广爿十又,UXDB,,,CJK-B,
𢉏,广爪又,UESB,,,CJK-B,广爪{右頭}又
𢉐,广毛灬,URUh,,,CJK-B,
𢉑,广龶月,UHWv,,,CJK-B,
𢉒,广尚,UNsu,,,CJK-B,
𢉓,广一乚,UQFX,,,CJK-B,广{丿一同竹}一乚
𢉔,广亻又木,UEBF,,,CJK-B,广亻{マ同又}木
𢉕,广冖口丶,UYLO,,,CJK-B,
𢉖,厶厶,IVVv,,,CJK-B,{鹿上同鹿}厶厶
𢉗,广了口一,UVLF,,,CJK-B,
𢉘,广火火,UUUv,,,CJK-B,
𢉙,广卄一火,USFU,,,CJK-B,
𢉚,广爪子乚,UEBX,,,CJK-B,
𢉛,广心,UWTY,,,CJK-B,广{⼓同月}{两撇同彡}心
𢉜,广耂日,UHJv,,,CJK-B,
𢉝,广田,UJGf,,,CJK-B,广田{畏下同匚}
𢉞,广户冊,UONc,,,CJK-B,
𢉟,广彳艮,URVn,,,CJK-B,
𢉠,广丿虫冂,UQKK,,,CJK-B,
𢉡,广亻厶矢,UEVQ,,,CJK-B,
𢉢,广古月,UDWv,,,CJK-B,
𢉣,广亻口木,UELF,,,CJK-B,
𢉤,广力口木,UXLF,,,CJK-B,
𢉥,广日乚,UJWX,,,CJK-B,广日{⼓同月}乚
𢉦,广冖車,UYGj,,,CJK-B,
𢉧,广艹目,USMv,,,CJK-B,
𢉨,广木口刂,UFLM,,,CJK-B,
𢉩,广立日,UIJv,,,CJK-B,
𢉪,广止匕木,UNRF,,,CJK-B,
𢉫,广コ木口,UBFL,,,CJK-B,广{コ同又}木口
